lum_crewassignment_name,lum_assigneddate,lum_crewmember,lum_truckid,lum_role
J31712 — HFG — Reinstall refurbished sign,2026-06-08,Dustin,F96,WK install
J32429 — City of Andover (Capitol Fed) — Caulk wireway,2026-06-08,Dustin,F96,WK install
J36515 / J36516 — Childrens Mercy — Set poles and mow pads,2026-06-09,Dustin,F96,WK install
J28930 — Childrens Mercy — Install one set of face lit channel letters,2026-06-10,Dustin,F96,WK install
J37394 — Equity Ironstone — Install site sign,2026-06-11,Dustin,F96,WK install
J37921 — Early Head Start — Remove signage,2026-06-12,Dustin,F96,WK install
J35522 / J35523 — Gallagher,2026-06-13,Dustin,F96,WK install
J31712 — HFG — Reinstall refurbished sign,2026-06-08,Aiden,,WK install
J32429 — City of Andover (Capitol Fed) — Caulk wireway,2026-06-08,Aiden,,WK install
J36515 / J36516 — Childrens Mercy — Set poles and mow pads,2026-06-09,Aiden,,WK install
J28930 — Childrens Mercy — Install one set of face lit channel letters,2026-06-10,Aiden,,WK install
J37394 — Equity Ironstone — Install site sign,2026-06-11,Aiden,,WK install
J37921 — Early Head Start — Remove signage,2026-06-12,Aiden,,WK install
Service — Bushton/Great Bend — Service,2026-06-08,Jason,60,WK install
Service — Eldorado/Benton — Service,2026-06-09,Jason,60,WK install
Service — Salina — Service,2026-06-10,Jason,60,WK install
Service — Wichita — Service,2026-06-11,Jason,60,WK install
Service — Hutchinson — Service,2026-06-12,Jason,60,WK install
J35522 / J35523 — Gallagher,2026-06-13,Jason,60,WK install
J37421 — Cris Corey State Farm — Remove face and install new,2026-06-08,Doug,F-38,WK install
J37422 — Cris Corey State Farm — Remove sign for refurb,2026-06-08,Doug,F-38,WK install
J37959 — State Farm (Amy) — Face install,2026-06-08,Doug,F-38,WK install
Service — Unload 30ft trailer,2026-06-08,Doug,F-38,WK install
J35775 — Goodwill — Install donation letters,2026-06-09,Doug,F-38,WK install
J37573 — Fidelity Bank — Replace trim cap letters,2026-06-09,Doug,F-38,WK install
J31666 — Sterling Pharmacy — Install S/F cabinet,2026-06-10,Doug,F-38,WK install
J37290 — Fine Art — Remove sign for refurb,2026-06-10,Doug,F-38,WK install
J33723 — Salina Public Library — Install interior logo and FCOs,2026-06-11,Doug,F-38,WK install
J33489 — Family Dentistry — Install vinyl wrap,2026-06-11,Doug,F-38,WK install
J36904 — Weddle and Son — Install vinyl wrap,2026-06-11,Doug,F-38,WK install
J37469 — Memorial Art Company — Install vinyl wrap (McPherson),2026-06-12,Doug,F-38,WK install
J37471 — Memorial Art Company — Install vinyl wrap (Great Bend),2026-06-12,Doug,F-38,WK install
Service — Midway Motors — Install vinyl wrap,2026-06-12,Doug,F-38,WK install
J35522 / J35523 — Gallagher,2026-06-13,Doug,F-38,WK install
PTO — PTO,2026-06-08,Ray,F52,WK install
PTO — PTO,2026-06-09,Ray,F52,WK install
PTO — PTO,2026-06-10,Ray,F52,WK install
PTO — PTO,2026-06-11,Ray,F52,WK install
PTO — PTO,2026-06-12,Ray,F52,WK install
PTO — PTO,2026-06-08,Lee,F81/F50/Chevy/54,WK install
Service — To Dodge with 30ft trailer,2026-06-09,Lee,F81/F50/Chevy/54,WK install
J36772 — Billboard Business — Load pipe onto 30ft trailer,2026-06-09,Lee,F81/F50/Chevy/54,WK install
Service — Salina — Service,2026-06-10,Lee,F81/F50/Chevy/54,WK install
J33723 — Salina Public Library — Install interior logo and FCOs,2026-06-11,Lee,F81/F50/Chevy/54,WK install
Service — Steel work,2026-06-12,Lee,F81/F50/Chevy/54,WK install
J37094 — Intellicents — Interior vinyl,2026-06-09,Tanner,,WK install
J37648 — Disability Supports,2026-06-10,Tanner,,WK install
J36732 — CHCT Kansas — Door/window vinyl,2026-06-10,Tanner,,WK install
Service — Unload 30ft trailer,2026-06-08,Heath,CCO,WK install
J30283 — Finney County — Install interior panel sign,2026-06-08,Danny,420,WK install
J36364 — Casino wraps (Satanta) — Replace louvers,2026-06-09,Danny,420,WK install
Service — G.C. — Service,2026-06-09,Danny,420,WK install
J36772 — Billboard Business — Set base pipe,2026-06-10,Danny,420,WK install
J35655 — Lineage — Concrete removal and set post and panel,2026-06-11,Danny,420,WK install
J32903 — Minneola Health — Install cabinet,2026-06-12,Danny,420,WK install
J30283 — Finney County — Install interior panel sign,2026-06-08,Thomas,D90,WK install
J36772 — Billboard Business — Dig cube footing for billboard,2026-06-09,Thomas,D90,WK install
J36772 — Billboard Business — Set base pipe,2026-06-10,Thomas,D90,WK install
J35655 — Lineage — Concrete removal and set post and panel,2026-06-11,Thomas,D90,WK install
J32903 — Minneola Health — Install cabinet,2026-06-12,Thomas,D90,WK install
Service — Casino wraps,2026-06-12,Thomas,D90,WK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-08,Stan C,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-09,Stan C,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Stan C,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-11,Stan C,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-12,Stan C,,NEK install
J36817 — Cap Fed — Install directionals,2026-06-08,Morgan M,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-09,Morgan M,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Morgan M,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-11,Morgan M,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-12,Morgan M,,NEK install
J36817 — Cap Fed — Install directionals,2026-06-08,Conner P,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-09,Conner P,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Conner P,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-11,Conner P,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-12,Conner P,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-08,Josh S,,NEK install
J37549 / J37550 — McDonald's World Cup — Soccer balls,2026-06-09,Josh S,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Josh S,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-11,Josh S,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-12,Josh S,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-08,Justin J,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-09,Justin J,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Justin J,,NEK install
J36188 — O'Reilly Auto Parts (Emporia) — Install sign package,2026-06-11,Justin J,,NEK install
J36188 — O'Reilly Auto Parts (Emporia) — Install sign package,2026-06-12,Justin J,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-08,Jarrod L,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-09,Jarrod L,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Jarrod L,,NEK install
J36188 — O'Reilly Auto Parts (Emporia) — Install sign package,2026-06-11,Jarrod L,,NEK install
J36188 — O'Reilly Auto Parts (Emporia) — Install sign package,2026-06-12,Jarrod L,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-08,Aaron W,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-09,Aaron W,,NEK install
Service — NKC-018 — [TEMPLATE] Install Sign Package,2026-06-10,Aaron W,,NEK install
Service — NASB — Cut reflective vinyl,2026-06-11,Aaron W,,NEK install
J37447 — Midwest Trust — Cut vinyl,2026-06-12,Aaron W,,NEK install
J35352 — Gene's Heartland Foods — Vinyl must be ready,2026-06-12,Aaron W,,NEK install
